keV,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
1.20,4.183994,34.070483,132.998759,350.247412,722.147690,1318.557792,2003.204228,2816.309490,3525.185929,4679.027966,5086.872860,566.406456,729.041062,968.014206,1181.191960,1502.072813,1754.754711,1978.355540,2528.844627,3042.912763,3285.592778,3693.926468,4105.661372,4699.664744,5166.559819,5839.682431,6319.396664,7232.647942,7526.387444,8294.401750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2064.080642,2275.701124,2519.634940,2748.522766,0.000000,0.000000,0.000000,0.000000,4055.042558,4303.135779,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6994.143937
1.22,3.982375,32.326266,126.367713,333.354317,688.161308,1258.191968,1913.991931,2694.315374,3377.604581,4488.068885,4914.612313,542.010759,697.630960,926.491569,1130.672277,1438.026529,1680.289738,1894.818970,2422.764322,2916.120540,3149.617954,3542.082527,3938.437721,4509.883123,4960.564078,5610.328724,6073.239032,6951.387600,7235.167240,7968.003546,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1985.107663,2188.995538,2423.829549,2644.299481,0.000000,0.000000,0.000000,0.000000,3903.633159,4143.007666,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6756.293179
1.24,3.793518,30.697564,120.167173,317.531150,656.288674,1201.505029,1830.107921,2579.462439,3238.453005,4307.820972,4750.845802,519.037258,668.052373,887.382428,1083.082897,1377.686913,1610.119694,1816.083358,2322.751894,2796.546267,3021.346273,3398.799409,3780.580550,4330.667010,4765.933764,5393.495752,5840.442034,6685.375278,6959.679754,7659.448275,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1910.367727,2106.923927,2333.137264,2545.628005,0.000000,0.000000,0.000000,0.000000,3760.203198,3991.298689,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6532.507794
1.26,3.616427,29.175045,114.362906,302.694492,626.367344,1148.218745,1751.155557,2471.227385,3107.125142,4137.524901,4595.027433,497.382066,640.171495,850.510893,1038.210617,1320.784739,1543.933456,1741.801889,2228.370613,2683.672361,2900.227440,3263.467824,3631.426588,4161.271732,4581.873361,5188.314248,5620.082199,6433.557996,6698.841451,7367.495869,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1839.571041,2029.169762,2247.209202,2452.130069,0.000000,0.000000,0.000000,0.000000,3624.213424,3847.440899,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6319.539798
1.28,3.450199,27.750261,108.923886,288.768613,598.249667,1098.079885,1676.773381,2369.132732,2983.067184,3976.486066,4446.654308,476.950375,613.866210,815.716410,995.860794,1267.074188,1481.446888,1671.657765,2139.221433,2577.025772,2785.758357,3135.530580,3490.369048,4001.015791,4407.654463,4993.987794,5411.313166,6194.970636,6451.659008,7091.010266,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1772.451829,1955.442690,2165.725310,2363.458628,0.000000,0.000000,0.000000,0.000000,3495.168802,3710.912850,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6116.706809
1.30,3.294015,26.415555,103.821949,275.684654,571.801232,1050.857633,1606.631511,2272.742180,2865.772343,3824.068164,4305.262534,457.655526,589.024903,782.852207,955.855473,1216.330485,1422.400131,1605.361191,2054.939217,2476.173525,2677.478420,3014.477406,3356.852028,3849.274623,4242.609174,4809.785694,5213.358171,5968.727385,6217.220552,6828.949243,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1708.765996,1885.476010,2088.391580,2279.294845,0.000000,0.000000,0.000000,0.000000,3372.614273,3581.235139,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6182.410874
1.32,3.147126,25.163976,99.031491,263.379914,546.899500,1006.341291,1540.428450,2181.656487,2754.776217,3679.687502,4170.423657,5307.564608,565.545420,751.783925,918.031730,1168.347812,1366.555189,1542.646700,1975.189398,2380.718779,2574.965345,2899.840354,3230.365548,3705.475058,4086.124252,4635.036653,5025.503367,5754.014127,5994.687851,6580.355368,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1648.289068,1819.024414,2014.937573,2199.345411,0.000000,0.000000,0.000000,0.000000,3256.130972,3457.966443,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5976.268973
1.34,3.008850,23.989202,94.529199,251.797211,523.432600,964.338261,1477.888263,2095.509830,2649.652668,3542.807935,4041.741471,5134.479587,543.334134,722.388398,882.240194,1122.937450,1313.693800,1483.270790,1899.664998,2290.297325,2477.831467,2791.189721,3110.441133,3569.090401,3937.635894,4469.123139,4847.091876,5550.081670,5783.289377,6344.347958,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1590.814347,1755.861988,1945.114206,2123.340152,0.000000,0.000000,0.000000,0.000000,3145.332855,3340.699971,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5779.947380
1.36,2.878566,22.885476,90.293818,240.884331,501.298256,924.672248,1418.758070,2013.966557,2550.010163,3412.936357,3918.849157,4969.479438,522.305122,694.552574,848.343745,1079.926136,1263.615537,1427.009804,1828.083990,2204.574463,2385.720433,2688.130409,2996.647883,3439.636037,3796.625094,4311.476359,4677.518474,5356.239692,5582.314098,6120.115897,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1536.151262,1695.780413,1878.691781,2051.029898,0.000000,0.000000,0.000000,0.000000,3039.863694,3229.060300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5592.841983
1.38,2.755703,21.847549,86.305941,230.593523,480.402838,887.181667,1362.805816,1936.718305,2455.488509,3289.618681,3801.406709,4812.075802,502.379428,668.172551,816.216343,1039.154591,1216.136112,1373.658060,1760.186942,2123.242229,2298.304267,2590.298684,2888.588962,3316.665515,3662.613486,4161.571768,4516.224854,5171.851345,5391.105935,5906.911221,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1484.123901,1638.587362,1815.458219,1982.184567,0.000000,0.000000,0.000000,0.000000,2939.394370,3122.700540,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5414.393976
