keV,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
1.40,2.207685,20.454785,82.123041,220.327477,459.784847,850.643493,1307.743473,1861.346529,2363.700532,3170.315511,3687.028090,4659.792715,481.250791,640.651434,783.141823,997.578168,1167.990378,1319.833027,1692.544182,2042.757087,2212.094790,2494.103316,2781.657770,3195.530197,3530.928354,4014.700189,4358.398201,4992.427171,5203.846754,5698.891712,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1428.247756,1577.785730,1748.899429,1910.197763,0.000000,0.000000,0.000000,0.000000,2836.183718,3012.892696,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5235.353799
1.42,2.105206,19.541542,78.585266,211.164267,441.132106,817.085378,1257.536051,1791.885733,2278.458656,3058.904921,3579.573941,4516.259424,463.344915,616.944452,754.253881,960.896762,1125.250756,1271.783432,1631.353387,1969.429788,2133.220648,2405.798860,2684.043902,3084.368745,3409.668538,3878.906472,4212.215785,4825.193528,5030.437852,5505.745818,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1381.077433,1525.910331,1691.530475,1847.737971,0.000000,0.000000,0.000000,0.000000,2744.909369,2916.230911,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5072.626290
1.44,2.008820,18.681003,75.246224,202.502421,423.481303,785.293096,1209.918526,1725.934869,2197.419400,2952.886618,3476.689348,4379.063147,446.341904,594.428143,726.813505,926.049253,1084.640464,1226.118931,1573.184847,1899.705724,2058.203737,2321.791140,2591.149795,2978.548844,3294.182746,3749.509936,4072.879335,4665.784682,4865.113091,5321.711751,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1336.092443,1476.430718,1636.806765,1788.151746,0.000000,0.000000,0.000000,0.000000,2657.788123,2823.957956,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4917.127835
1.46,1.918086,17.869456,72.092219,194.308107,406.765803,755.151102,1164.724065,1663.271457,2120.321436,2851.930064,3378.120503,4247.841820,430.184625,573.027392,700.729537,892.920363,1046.026012,1182.690428,1517.850371,1833.361414,1986.805714,2241.815688,2502.686360,2877.744885,3184.121471,3626.126534,3939.979724,4513.733332,4707.391032,5146.241898,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1293.163262,1429.205238,1584.572087,1731.269682,0.000000,0.000000,0.000000,0.000000,2574.577197,2735.817685,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4768.443463
1.48,1.832602,17.103497,69.110668,186.550191,390.924233,726.552854,1121.798661,1603.689899,2046.922961,2755.729131,3283.630913,4122.258642,414.820275,552.672762,675.917702,861.403499,1009.283953,1141.360016,1465.175843,1770.190040,1918.805949,2165.627630,2418.385846,2781.655198,3079.160752,3508.400102,3813.137424,4368.605965,4556.824971,4978.828446,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1252.169678,1384.102395,1534.681420,1676.934493,0.000000,0.000000,0.000000,0.000000,2495.051060,2651.572133,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4626.187264
1.50,1.752000,16.380000,66.290000,179.200000,375.900000,699.400000,1081.000000,1547.000000,1977.000000,2664.000000,3193.000000,4002.000000,400.200000,533.300000,652.300000,831.400000,974.300000,1102.000000,1415.000000,1710.000000,1854.000000,2093.000000,2338.000000,2690.000000,2979.000000,3396.000000,3692.000000,4230.000000,4413.000000,4819.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1213.000000,1341.000000,1487.000000,1625.000000,0.000000,0.000000,0.000000,0.000000,2419.000000,2571.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4490.000000
1.52,1.675436,15.698033,63.574014,172.075103,361.310385,672.842895,1040.928156,1490.916454,1906.983057,2571.931994,3085.632032,3869.857088,386.145527,514.505953,629.346472,802.225324,940.209346,1063.535881,1365.842749,1650.922535,1790.290431,2021.416239,2258.513506,2599.010878,2878.809844,3282.499062,3569.584572,4090.701775,4269.196731,4664.086912,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1174.399925,1298.316119,1439.648965,1573.377653,0.000000,0.000000,0.000000,0.000000,2342.797298,2490.201651,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4354.777034
1.54,1.603154,15.052825,61.002656,165.321144,347.466788,647.621836,1002.836812,1437.559874,1840.313065,2484.187756,2983.208005,3743.720276,372.758790,496.607080,607.485055,774.435964,907.734055,1026.891116,1319.002739,1594.618825,1729.560545,1953.169075,2182.716073,2512.229256,2783.233715,3174.201748,3452.749651,3957.722822,4131.868484,4516.082242,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1137.508959,1257.522499,1394.395500,1524.038253,0.000000,0.000000,0.000000,0.000000,2269.944717,2412.949525,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4225.315200
1.56,1.534864,14.441954,58.566495,158.914365,334.322105,623.653545,966.604237,1386.764789,1776.789630,2400.511967,2885.440422,3623.243807,360.000000,479.549932,586.650599,747.949410,876.778071,991.957669,1274.342734,1540.925112,1671.634955,1888.062635,2110.391856,2429.409655,2692.003271,3070.806482,3341.173240,3830.699891,4000.645204,4374.594089,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1102.230682,1218.512484,1351.121226,1476.853126,0.000000,0.000000,0.000000,0.000000,2200.254288,2339.044908,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4101.298933
1.58,1.470298,13.863189,56.256822,152.832804,321.832755,600.860909,932.117612,1338.377713,1716.226713,2320.667391,2792.061896,3508.105912,3843.221140,463.284883,566.782608,722.689036,847.252182,958.635192,1231.735244,1489.689232,1616.350665,1825.914849,2041.340187,2350.323817,2604.868946,2972.032725,3234.555723,3709.294902,3875.182358,4239.257422,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1068.475253,1181.186699,1309.715845,1431.702372,0.000000,0.000000,0.000000,0.000000,2133.550816,2268.302571,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3982.433695
